Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
RISK_ALERT_RESOLUTION,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_ALERT_RESOLUTION,DELETED,Soft delete,,
RISK_ALERT_RESOLUTION_FILE,ID,Primary key,PK,
RISK_ALERT_RESOLUTION_FILE,RESOLUTION_ID,Giải trình liên quan,FK,FK → RISK_ALERT_RESOLUTION.ID
RISK_ALERT_RESOLUTION_FILE,FILE_NAME,Tên file,,
RISK_ALERT_RESOLUTION_FILE,FILE_PATH,Đường dẫn file trên hệ thống,,
RISK_ALERT_RESOLUTION_FILE,FILE_SIZE,Dung lượng file (bytes),,
RISK_ALERT_RESOLUTION_FILE,FILE_TYPE,"Loại file: PDF, DOCX, XLSX, PNG, JPG,…",,
RISK_ALERT_RESOLUTION_FILE,UPLOADED_AT,Thời gian upload,,
RISK_ALERT_RESOLUTION_FILE,UPLOADED_BY_ID,Người upload (user id),,
RISK_ALERT_RESOLUTION_FILE,CREATED_AT,Ngày tạo,,
RISK_ALERT_RESOLUTION_FILE,UPDATED_AT,Ngày sửa cuối,,
RISK_ALERT_RESOLUTION_FILE,CREATED_BY_ID,User_id người tạo,,
RISK_ALERT_RESOLUTION_FILE,UPDATED_BY_ID,User_id người cập nhật,,
RISK_ALERT_RESOLUTION_FILE,CREATED_BY_NAME,Tên người tạo,,
RISK_ALERT_RESOLUTION_FILE,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_ALERT_RESOLUTION_FILE,DELETED,Soft delete,,
RISK_INDICATOR,ID,Primary key,PK,
RISK_INDICATOR,INDICATOR_CODE,"Mã chỉ tiêu (VD: GDP_VN, CPI_VN, VNINDEX, CPI_US, DXY)",,
RISK_INDICATOR,INDICATOR_NAME,"Tên chỉ tiêu (VD: GDP, CPI, Chỉ số VNIndex, Lạm phát Mỹ)",,
RISK_INDICATOR,SET_CODE,Bộ chỉ tiêu 1=Trong nước 2=Quốc tế,,
RISK_INDICATOR,CATEGORY_ID,Nhóm chỉ tiêu (VD: Yếu tố vĩ mô),FK,FK → RISK_INDICATOR_CATEGORY.ID
RISK_INDICATOR,UNIT_CODE,Đơn vị mặc định 1=% 2=Điểm 3=Tỷ VND 4=Triệu USD 5=Hợp đồng 6=Cổ phiếu 7=Công ty 8=VND 9=Số tài khoản 10=Đơn vị tính,,
RISK_INDICATOR,SOURCE_CODE,Nguồn mặc định 1=Investing 2=Tổng cục Thống kê 3=Ngân hàng Nhà nước 4=Nội bộ 5=HNX 6=VSDC (Investing chỉ dùng cho chỉ tiêu quốc tế),,
RISK_INDICATOR,PERIOD_TYPE,"Tần suất: 1=Ngày, 2=Tháng, 3=Quý, 4=Năm",,
RISK_INDICATOR,STATUS,0=Không hoạt động 1=Hoạt động,,
RISK_INDICATOR,LAST_SYNC_TIME,Lần sync gần nhất,,
RISK_INDICATOR,DISPLAY_ORDER,Thứ tự hiển thị của chỉ tiêu,,
RISK_INDICATOR,CREATED_AT,Ngày tạo,,
RISK_INDICATOR,UPDATED_AT,Ngày sửa cuối,,
RISK_INDICATOR,CREATED_BY_ID,User_id người tạo,,
RISK_INDICATOR,UPDATED_BY_ID,User_id người cập nhật,,
RISK_INDICATOR,CREATED_BY_NAME,Tên người tạo,,
RISK_INDICATOR,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_INDICATOR,DELETED,Soft delete,,
RISK_INDICATOR,IS_DISPLAY,Có hiển thị trên màn hình không 0=Không 1=Có,,
RISK_INDICATOR,SHOW_SYNC_INDICATOR,,,
RISK_INDICATOR_CATEGORY,ID,Primary key,PK,
RISK_INDICATOR_CATEGORY,SET_CODE,Bộ chỉ tiêu 1=Trong nước 2=Quốc tế,,
RISK_INDICATOR_CATEGORY,CATEGORY_CODE,"Mã nhóm (VD: MACRO, MONETARY, STOCK_MARKET)",,
RISK_INDICATOR_CATEGORY,CATEGORY_NAME,Tên nhóm (VD: Yếu tố vĩ mô),,
RISK_INDICATOR_CATEGORY,STATUS,0=Không hoạt động 1=Hoạt động,,
RISK_INDICATOR_CATEGORY,CREATED_AT,Ngày tạo,,
RISK_INDICATOR_CATEGORY,UPDATED_AT,Ngày sửa cuối,,
RISK_INDICATOR_CATEGORY,CREATED_BY_ID,User_id người tạo,,
RISK_INDICATOR_CATEGORY,UPDATED_BY_ID,User_id người cập nhật,,
RISK_INDICATOR_CATEGORY,CREATED_BY_NAME,Tên người tạo,,
RISK_INDICATOR_CATEGORY,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_INDICATOR_CATEGORY,DELETED,"Soft delete: 0=Active, 1=Deleted",,
RISK_INDICATOR_CUSTOM,ID,Primary key,PK,
RISK_INDICATOR_CUSTOM,INDICATOR_NAME,"Tên chỉ tiêu (VD: GDP, CPI, Chỉ số VNIndex, Lạm phát Mỹ)",,
RISK_INDICATOR_CUSTOM,UNIT_CODE,Đơn vị mặc định 1=% 2=Điểm 3=Tỷ VND 4=Triệu USD 5=Hợp đồng 6=Cổ phiếu 7=Công ty 8=VND 9=Số tài khoản 10=Đơn vị tính,,
RISK_INDICATOR_CUSTOM,SOURCE_CODE,Nguồn cảnh báo,,
RISK_INDICATOR_CUSTOM,PERIOD_TYPE,"Tần suất: 1=Ngày, 2=Tháng, 3=Quý, 4=Năm",,
RISK_INDICATOR_CUSTOM,STATUS,0=Không hoạt động 1=Hoạt động,,
RISK_INDICATOR_CUSTOM,CREATED_AT,Ngày tạo,,
RISK_INDICATOR_CUSTOM,UPDATED_AT,Ngày sửa cuối,,
RISK_INDICATOR_CUSTOM,CREATED_BY_ID,User_id người tạo,,
RISK_INDICATOR_CUSTOM,UPDATED_BY_ID,User_id người cập nhật,,
RISK_INDICATOR_CUSTOM,CREATED_BY_NAME,Tên người tạo,,
RISK_INDICATOR_CUSTOM,UPDATED_BY_NAME,Tên người cập nhật,,
RISK_INDICATOR_CUSTOM,DELETED,Soft delete,,
RISK_INDICATOR_DATA_PERMISSION,ID,,PK,
RISK_INDICATOR_DATA_PERMISSION,SCOPE_TYPE,,,
RISK_INDICATOR_DATA_PERMISSION,SET_CODE,,,
RISK_INDICATOR_DATA_PERMISSION,INDICATOR_ID,,FK,FK → RISK_INDICATOR.ID
RISK_INDICATOR_DATA_PERMISSION,USER_ID,,,
RISK_INDICATOR_DATA_PERMISSION,CAN_VIEW_FLAG,,,
RISK_INDICATOR_DATA_PERMISSION,CAN_EDIT_FLAG,,,
RISK_INDICATOR_DATA_PERMISSION,CREATED_AT,,,
RISK_INDICATOR_DATA_PERMISSION,UPDATED_AT,,,
RISK_INDICATOR_DATA_PERMISSION,CREATED_BY_ID,,,
RISK_INDICATOR_DATA_PERMISSION,UPDATED_BY_ID,,,
RISK_INDICATOR_DATA_PERMISSION,CREATED_BY_NAME,,,
RISK_INDICATOR_DATA_PERMISSION,UPDATED_BY_NAME,,,
RISK_INDICATOR_DATA_PERMISSION,DELETED,,,
RISK_INDICATOR_SCHEDULE,ID,Primary key,PK,
RISK_INDICATOR_SCHEDULE,INDICATOR_ID,Chỉ tiêu (1-1),FK,FK → RISK_INDICATOR.ID
RISK_INDICATOR_SCHEDULE,FREQUENCY_TYPE,"1=Giờ, 2=Ngày, 3=Tháng, 4=Quý, 5=Năm",,
RISK_INDICATOR_SCHEDULE,FREQUENCY_VALUE,Mỗi bao nhiêu đơn vị (VD: mỗi 2 ngày),,
