Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
DEPARTMENT,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
DEPARTMENT,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
DEPARTMENT,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
DEPARTMENT,PARENT_VERSION_ID,VARCHAR2(36 CHAR),*Stable ID của phòng ban cha*,,
DEPARTMENT,IDX_DEPARTMENT_PARENT_ID,PARENT_ID,,,
DEPARTMENT,IDX_DEPARTMENT_ACTIVE,"ACTIVE, DELETED",,,
DEPARTMENT,IDX_DEPARTMENT_OLD_ID,OLD_ID,,,
DEPARTMENT,IDX_DEPARTMENT_STABLE_ID,STABLE_ID,,,
ENTERPRISE_TYPE,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
ENTERPRISE_TYPE,CODE,VARCHAR2(20 CHAR),*Mã phòng ban*,,
ENTERPRISE_TYPE,NAME,VARCHAR2(255 CHAR),*Tên phòng ban*,,
ENTERPRISE_TYPE,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
ENTERPRISE_TYPE,PARENT_ID,VARCHAR2(36 CHAR),*ID loại hình cha *,,
ENTERPRISE_TYPE,DESCRIPTION,CLOB,*Mô tả chi tiết*,,
ENTERPRISE_TYPE,EFFECTIVE,NUMBER(1),"*Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)*",,
ENTERPRISE_TYPE,APPLIED_SUBJECT,VARCHAR2(50 CHAR),*Đối tượng áp dụng*,,
ENTERPRISE_TYPE,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
ENTERPRISE_TYPE,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
ENTERPRISE_TYPE,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
ENTERPRISE_TYPE,DELETED_REASON,CLOB,*Lý do xóa*,,
ENTERPRISE_TYPE,VERSION,NUMBER(MAX),*Phiên bản*,,
ENTERPRISE_TYPE,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
ENTERPRISE_TYPE,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
ENTERPRISE_TYPE,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
