Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
INVESACC,Status,NUMBER(22),Trạng thái: 1 = Còn hiệu lực; 0 = Hết hiệu lực,,
INVESACC,DateReport,DATE,Kỳ báo cáo gần nhất,,
INVESACC,Deleted,NUMBER(22),Trạng thái bản ghi,,
INVESACC,IsDataMigration,NUMBER(1),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,,
INVESACC,CreatedBy,NVARCHAR2(300),Người tạo,,
INVESACC,DateCreated,DATE,Ngày tạo,,
INVESACC,DateModified,DATE,Ngày sửa,,
INVESACC,ModifyBy,NVARCHAR2(300),Người sửa,,
JOBTYPE,Id,RAW(16),Mã ID loại chức vụ. Mã hệ thống tự sinh (PK),PK,
JOBTYPE,Name,NVARCHAR2(3000),Tên loại chức vụ,,
JOBTYPE,Status,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
JOBTYPE,IsDisplayOnMember,NUMBER(22),Là HĐQT/Hội đồng thành viên của công ty: 1 = Có; 0 = Không,,
JOBTYPE,IsPublish,NUMBER(22),Có công bố thông tin: 1 = Có; 0 = Không,,
JOBTYPE,IsDeleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
JOBTYPE,CreatedBy,NVARCHAR2(300),Người tạo,,
JOBTYPE,DateCreated,DATE,Ngày tạo,,
JOBTYPE,DateModified,DATE,Ngày sửa,,
JOBTYPE,ModifyBy,NVARCHAR2(300),Người sửa,,
LOCATION,Id,RAW(16),Mã ID tỉnh/thành phố. Mã hệ thống tự sinh (PK),PK,
LOCATION,Name,NVARCHAR2(300),Tên tỉnh/thành phố,,
LOCATION,SName,NVARCHAR2(60),Mã tỉnh/thành phố,,
LOCATION,Description,NVARCHAR2(1500),Ghi chú,,
LOCATION,Status,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
LOCATION,IsDeleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
LOCATION,IsDataMigration,NUMBER(22),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu hệ thống mới,,
LOCATION,CreatedBy,NVARCHAR2(300),Người tạo,,
LOCATION,DateCreated,DATE,Ngày tạo,,
LOCATION,DateModified,DATE,Ngày sửa,,
LOCATION,ModifyBy,NVARCHAR2(300),Người sửa,,
MBCHANGE,Id,RAW(16),Mã ID lịch sử thay đổi vốn góp (PK),PK,
